	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58
Neutrophils	0	0.00890666666666662	0.0884933333333333	0.00561666666666671	0.29159	0.440296666666667	1	0.00751000000000002	0.466556666666667	0	1	0.000193333333333379	0.320033333333333	0.000439999999999996	0.10985	1	0	0	0.00969666666666669	0.417506666666667	1	0	0.76339	0.806076666666667	0.98389	0	0.59457	0.455613333333333	0	0.242386666666667	0.0270333333333334	0.103023333333333	1	0.967933333333333	0	0.01867	1	1	0.504986666666667	0	1	0.172236666666667	1	0.00427999999999995	1	1	0.000853333333333373	0.0155566666666667	1	1	0.936123333333333	0.0354866666666667	1	1	1	0.592156666666667	1	1
Osteoblast	0	0	1	0	0.0142600000000001	0	1	0.216856666666667	0	0	0	0.0165866666666666	0	0	0	0.0979966666666666	0.237413333333333	0.02781	0	0	0	0	0.0692033333333333	0	0	0	0	1	1	0	0	0	1	0	0.0767633333333333	1	1	1	0.0130866666666667	0	1	0	0.0031133333333333	1	0	0.01255	0	0.466796666666667	0	0	0	0	0.354586666666667	0	0	0.18636	0	0
Pericytes	0.138313333333333	1	0.40293	0	0.134276666666667	0	0	0.470113333333333	0	0	0	1	0.02398	0.0540533333333333	0.07753	1	0.490576666666667	1	1	0.421416666666667	0.105356666666667	0	0	0.221613333333333	0	0.00997333333333328	0	0	0	0	0.153503333333333	0	0.00263000000000002	0	0	1	0	0.169513333333333	0.01065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plasma cells	0.0532233333333333	0	1	0.215906666666667	0.0396533333333333	0.27866	1	0.00234000000000001	0	0.269763333333333	0	1	0	0	0	0.172206666666667	0.252466666666667	0	0	0	0	1	0.175353333333333	0.0696933333333334	0.0489433333333333	1	0	1	0.63422	0.000140000000000029	0.100003333333333	0	0.0114766666666667	1	0.03295	0.215906666666667	0.00922666666666672	1	1	0.540973333333333	0	0.82719	1	0	0	1	0.800456666666667	1	0	1	0.00366999999999995	0.227123333333333	1	0.0114766666666667	0.0191533333333334	1	1	1
Platelets	0	0.0219	0.23111	0.0625433333333333	0	0	1	0.0534666666666667	0.00728333333333331	0.0513333333333333	0.85714	0.000870000000000037	0.162683333333333	0.03152	0	0.792993333333333	0.04589	0.144446666666667	0	0.221023333333333	0	1	1	0.136676666666667	1	0.05547	0	0.84381	0.08747	0.173183333333333	0	0	1	0.00334333333333336	0.173183333333333	0.0328133333333334	0.356233333333333	0.702623333333333	0	0	0.03364	0.25203	1	0.301493333333333	0.527916666666667	1	0.21075	0.20709	0.0516233333333334	1	0.0557733333333333	0.25203	1	0.0824866666666667	0.000116666666666654	1	0.73731	1
Preadipocytes	1	0.0331666666666667	0.000170000000000003	0	0.104646666666667	0.227023333333333	0	0.0122966666666666	0.72411	0	0.0292833333333333	0.299186666666667	0	0.218106666666667	0.631056666666667	0.0200133333333333	0	0	0.0642866666666667	0	0.04092	1	0	0	0.213756666666667	0.815986666666667	0.0647733333333333	0	0	0	0.0179533333333334	1	0	1	0	0	0.0580833333333334	0	0.04092	0.0278333333333334	0	1	0.0259566666666666	0.0849866666666667	0	0.0730366666666666	0.451656666666667	0	1	0	1	1	0.361936666666667	0.0593233333333333	0.184016666666667	0.2643	0	0
Sebocytes	0.120963333333333	0.193673333333333	0.01616	0.329736666666667	0.0348033333333333	0.133596666666667	0.103386666666667	0.267683333333333	0.27391	0.08725	0.332493333333333	1	1	0.00998333333333334	1	0.0726366666666667	0.00651000000000002	0.32767	1	0.193673333333333	1	0.0127333333333334	0.00482666666666665	0.32767	0.24225	1	0	1	0.207573333333333	0.0348033333333333	1	1	1	3.33333333333297e-05	0.0771133333333334	1	0.296373333333333	1	1.33333333333097e-05	1	1	0.00100999999999996	0.00751333333333337	1	0.00482666666666665	0	1	0.221596666666667	1	0.11513	0.0595866666666667	1	0.152693333333333	1	0.0771133333333334	0.310786666666667	0.0595866666666667	1
Skeletal muscle	0.838123333333333	0	0	0	0.535973333333333	0.85358	0	0	0	0	0	1	0.0212766666666667	0.986093333333333	0.66971	0	1	0.765743333333333	1	0	0	0.39705	0.280946666666667	0	0	0	1	0	0	0	0.904246666666667	1	0	1	0	1	0	0	0.227446666666667	0.72254	0.0514033333333334	1	0	1	0	0	0	0.99853	0.782086666666667	0	0.508763333333333	1	0	0	0.0979766666666667	0	0	0.09446
Smooth muscle	0.0937133333333333	0	0	0.26399	0	0.72705	0	0.30114	0.868343333333333	1	0	0.575646666666667	0.453896666666667	0	0	0	1	0	0	0	0	0.157363333333333	0.139463333333333	0	0.00738666666666665	1	0.29754	1	1	0	0	0	0.446486666666667	0.0170233333333333	0	0.04802	0	0.26174	0.60876	1	0.655793333333333	1	1	1	0.445033333333333	1	0.463666666666667	1	0.23058	1	0.760603333333333	1	1	0.4886	1	1	0.606993333333333	1
Tgd cells	0.0633366666666667	0.0324433333333334	0.000933333333333342	1	0.356203333333333	0.822733333333333	0	0.642193333333333	0.10894	1	0.000416666666666621	1	0	0.0665366666666667	0.01452	0	0.851343333333333	0	0.0310966666666667	0	9.66666666666338e-05	0.21055	0.06446	0.0246566666666667	0.02049	0.967653333333333	0.34735	0.00244	1	0.0295233333333333	0.692236666666667	0.0553166666666667	0	0.879803333333333	0.000560000000000005	0.34081	0	1.33333333333097e-05	0.13306	0.645986666666667	0.140486666666667	0.619946666666667	0.01278	1	0.0328933333333333	0.170493333333333	0.0295233333333333	1	0.000519999999999965	0.0295233333333333	1	0.149263333333333	0.00159333333333334	0.77669	1	0.164583333333333	0	1
