	GSM5016874	GSM5016875	GSM5016876	GSM5016877	GSM5016879	GSM5016880	GSM5016881	GSM5016882	GSM5016884	GSM5016885	GSM5016886	GSM5016887	GSM5016888	GSM5016889	GSM5016890	GSM5016891	GSM5016892	GSM5016893	GSM5016894	GSM5016895	GSM5016896	GSM5016897	GSM5016898	GSM5016899	GSM5016900	GSM5016901	GSM5016902	GSM5016903	GSM5016904	GSM5016905	GSM5016906	GSM5016907	GSM5016908	GSM5016910	GSM5016911	GSM5016912	GSM5016913	GSM5016914	GSM5016915	GSM5016916	GSM5016917	GSM5016918	GSM5016919	GSM5016920	GSM5016921	GSM5016922	GSM5016923	GSM5016924	GSM5016925	GSM5016926	GSM5016927	GSM5016928	GSM5016929	GSM5016930	GSM5016933	GSM5016934	GSM5016935	GSM5016936
Hepatocytes	244.537499082332	289.443248690388	273.110504058222	378.212456593406	245.677005325794	319.439128710286	382.974554603124	247.045554872317	169.435267942718	614.945128455243	179.344794291897	676.170842187325	246.606164130939	302.174559798849	272.225273134157	362.847047024531	315.38079866129	311.885012568726	300.162005174905	104.020751141144	126.418887600096	248.517731220773	596.1825559671	133.769880511875	329.872129072817	304.744063471041	174.021295453097	223.397871022304	652.311133512442	395.43918978749	184.951610867825	226.323564691936	119.691150618158	774.82478290333	76.781240718534	117.715972177116	235.698099243731	238.677855805349	224.193317522541	335.335087242641	110.596306683834	1011.21989192286	309.38066269686	242.879791884147	330.701700088501	368.288659822405	361.695504524661	401.427545269725	240.964475382542	322.285277221596	316.984168966664	158.516339137794	415.046016035864	304.109772719281	211.501909082979	235.92372469104	62.3190911296992	881.567630525135
Keratinocytes	468.598011512279	250.082597903498	443.092447762646	291.447426245217	527.778319074467	523.587805169538	564.315710408888	439.209592381877	454.07685508938	561.324900896004	531.356990883279	346.528818944807	236.181046713657	414.832574989918	306.865522247102	405.758413057811	417.776928224716	335.794502474861	440.343728300762	414.959983574901	280.573673274566	552.106521937569	650.708880235883	379.861641028959	849.291310890873	312.786510267627	993.459124602075	517.396327990531	597.569579234894	321.263615457479	263.593514675308	310.136296836934	526.44762426822	524.980171804232	455.706589872825	263.706427955301	300.739493048379	674.280262202511	503.867633493604	436.76479450689	247.442816261516	698.283287507583	564.086842324106	435.550217401532	619.922958902471	798.513016982742	326.742012958611	519.925481565238	658.052950957815	875.830178861415	844.634957635395	317.133932999613	754.841976883875	448.79722543392	545.26634410151	681.136450714289	640.450523743045	893.301419419155
MEP	783.622189159994	1083.47809874382	484.213727060355	600.78047649807	448.740948521809	554.781528160425	810.59828135702	611.883922693711	1036.22202852201	256.883144848709	1497.57555672049	486.754776571692	719.209610923468	721.673307006394	901.638105217481	1007.61396952523	618.291643755304	514.375099374246	605.832725998171	1003.83787041089	1309.38329407462	833.830721907953	1081.64575726595	881.28423726277	1398.45480934784	291.376156257921	926.454469353725	633.495422316705	357.280200307325	937.569621125938	436.238727812711	763.623005420994	1024.99435931358	1068.01846360128	499.989590182024	138.998898334544	1228.27578516088	673.912825353906	451.441210670873	277.329600474674	419.4837012146	1497.42382814133	1404.84609970563	516.472709124993	1298.2693100025	1218.05678528102	781.79329841122	792.139825626155	1341.01585979718	1249.91794216425	566.240845068139	829.311238443967	1589.78842346481	1205.17621800866	882.481082893129	919.177832246295	1372.73149164414	843.696159962752
MPP	467.986209453091	619.363468809144	574.385672230686	647.689414858411	407.858670627746	500.533226235803	371.890681578728	565.869612748393	459.651260528822	806.17397801821	479.868712615665	937.961091622108	375.045502725506	405.822100166373	546.553043248626	425.054409328044	473.03529456014	379.838936084325	395.957822799216	649.175295350673	492.21272884641	532.245845532034	740.496541653449	466.770931986448	739.536335057048	697.911090103245	527.213523795814	467.095223672215	972.462740787499	553.925762674451	458.245900720125	431.326418710687	590.903850615947	631.37445685428	429.210680215508	457.495543415197	630.78694890933	541.441979061667	386.332234615156	481.441361003031	464.420655060756	796.234166605768	538.275332666941	478.157315943275	592.465606609744	645.62424911869	377.833413364229	535.741536920542	486.755420482977	600.551023023652	517.551348402929	528.124808471115	551.97316626307	422.407284713234	253.925648349866	485.90482974657	641.16902516726	456.092681411387
MSC	660.183844324885	595.07367635421	813.887814425319	534.959094219059	720.917509524763	732.34501442558	608.429726967205	617.843749547001	705.903470690567	606.061328861741	1054.49493833312	1201.45431688376	379.046928988575	650.743693597347	871.29860594774	730.275953424253	646.173536934381	489.794976322084	662.437018407	626.201737453083	840.891501728967	1095.67083212267	920.369855073246	530.804031182641	1200.54365133774	931.249171826229	651.642675463472	693.216750466736	573.844596233325	631.660963983916	661.402076217774	858.172635735043	698.35660340185	1208.4639032239	495.610462203172	337.470697369821	724.481900869341	506.791422235288	480.80715813636	531.543535507787	498.758238472362	1362.03937546996	1192.69995288301	814.727939343249	963.871628848416	1082.11656723109	707.437263443607	962.902418773672	1012.49410498841	1431.54559871045	756.357041019335	904.261028913743	1401.23126952195	911.031871597974	659.971308179616	987.976856035386	828.358215476907	1328.69559792391
Macrophages	462.61272692309	637.611862383747	536.977538429863	562.950504182943	376.796700772034	351.183639482168	248.86752117778	444.980626724875	469.65927125329	586.440258179242	640.883760486291	969.670080558921	544.557279362064	660.319629595947	687.949336512635	349.095034506948	382.133415995306	515.793352350711	571.533130290695	455.396510911063	641.992499780445	473.406693858175	652.21605592217	341.017933359235	462.744939116966	527.473820391482	385.245292119395	328.854348923461	701.500856423712	621.017749558043	487.164046473945	775.522467738578	141.910721081332	970.578922070544	393.527877164062	327.253239509268	224.760986950862	95.0855919375265	328.041216944377	408.231462241739	195.876555842588	933.30876156898	451.226629864329	433.216332017542	708.74987903839	505.102637781377	536.289355680483	566.437659130198	606.99147376919	354.362810271865	508.669037187584	554.502156219563	598.173303929388	466.072003736934	385.947238460671	362.658609783198	471.187020344012	731.919079916975
Macrophages M1	446.311472632253	532.877197161463	515.621742397125	320.613647637594	178.147968896445	133.686037397965	318.651940381271	384.82012958775	379.625213737632	231.276979713513	676.051644165596	825.723348873374	559.268684041221	486.271064884542	517.061327257627	320.501899975435	396.043979432526	407.646180885728	263.83214056836	417.035150893577	589.64885188167	623.338170698094	747.191537144727	377.91870298965	473.790525837491	433.066284100795	377.224722973232	518.330613117715	477.489597271382	528.666427677574	329.453314818218	659.671248054804	141.827162676278	1014.56497493394	202.888397333668	134.605739630158	317.495113928972	115.989230416085	194.395887023629	364.05321096339	133.008164233159	1522.99135511773	820.146654532345	547.16464676007	837.191521359004	912.502387950828	480.158164305447	614.498264453723	806.719464077342	498.717652572417	761.58238001191	681.885910948783	837.54317413141	497.483822391414	491.223655842452	457.557673641037	720.764745791302	811.341896943694
Macrophages M2	412.705840060366	509.202489182626	397.41289747467	638.57688727339	345.304879573985	346.561068519965	375.745495530707	443.564968087368	372.094431640654	625.780328113089	585.936704998182	1043.09307027631	451.518743774426	709.800501910902	398.104036016019	215.684118120245	439.06613483022	323.448070649944	484.339053916358	503.088223720647	373.2099821474	601.577250484038	640.816565998303	221.981307630064	346.464014688424	499.738367160821	546.162787590357	607.187059351327	779.244517089098	606.315376790828	474.20393101268	563.957197759539	110.132020458734	1086.7970575295	424.999690129018	434.178952121332	226.320889055176	205.532673377665	359.801548825366	385.762003546242	264.673481307656	899.891057934136	524.058289313222	482.350540910735	731.916111496271	329.198307541275	391.561196196167	842.219521728066	547.400384231939	465.069846884022	408.769603163272	504.484082452751	494.243554219251	408.4864128281	522.389476528858	429.79348813704	555.061059008037	487.379005008085
Mast cells	203.362386556206	452.545917131806	409.675978013653	408.937206003868	229.384882585645	239.803899888163	562.154999380557	438.637980911131	397.676378002357	251.79443708647	417.093917752031	207.019381635484	511.659572732392	181.015939889856	281.97854068588	498.511270262263	409.155382197793	328.018422774808	211.958771514916	483.50358738785	423.679344986239	326.040432992587	334.114709288361	432.759539529243	365.205658636042	398.633778027659	526.895529904258	563.039314829358	258.237966404117	532.847457240033	344.982097502138	222.385507348497	692.510741809396	452.450662114983	386.20918628357	520.495589629863	502.305835332536	639.27232079185	423.891514024484	253.959619459178	473.523051724403	114.68370952484	440.947658720761	380.614203997255	475.161574130926	623.817219521119	459.660628458306	375.500583081709	322.600403778707	496.540038802093	247.952554850349	385.089790530765	607.788815230013	331.949499694964	408.261761100041	371.622636508262	408.61055892408	570.738316476321
Megakaryocytes	1627.57328944917	878.29876439553	946.002005972474	1155.62891235768	934.949296294881	1305.77147177504	969.597803634689	1002.83142697657	1548.60191260009	813.955377117152	672.706865725295	1797.19052941095	1019.01596972043	1227.98774922379	1320.24062620932	742.500018904722	1243.78985260151	1180.90547492612	1544.59295455034	1039.68104156808	467.355572675905	1605.3603523057	986.163635650875	769.021695267232	814.275136951648	731.902168318099	1621.50886607952	1222.94473758732	648.956761146138	1000.12519650054	922.069998187989	908.948769189465	1207.3577530815	813.842813057515	1037.21099425525	1382.04278090824	1082.42941945161	1232.7106853145	1225.58812986534	1398.30994324505	1255.3191164613	777.7449138742	960.964121469232	1217.04379671316	574.140922092009	734.310283031564	866.180580130956	919.477970941602	501.473373603441	940.420089766939	990.640056366206	724.392669272859	444.935186912719	239.019509228872	1542.29595924213	641.916522328158	1017.57089549987	1256.73071681666
Melanocytes	652.728355286748	1575.70069926151	523.76932422721	677.835579077281	648.940706200986	706.176871387794	520.045150040955	812.412922233595	377.231549497051	1207.94827459179	306.550565028522	1059.37118389929	208.844007941238	761.970259397716	391.009002220202	532.121074327352	1344.3082928514	727.038859687416	486.763183872535	323.063620846719	371.532559403978	491.496015359628	400.985899364493	464.674452380086	396.307562479208	632.346440507566	429.837475040762	486.020035737253	1279.81646677765	1205.74158004665	731.013803209757	520.724250986399	528.149769090543	1151.35851532287	487.413418776673	1204.00531879239	434.735552824761	577.695633116797	517.366167132666	874.580156776847	659.902681262541	860.197204207607	383.263480069122	737.886253783607	934.516617970348	419.302315735237	818.311774228984	807.351698679036	421.717072612967	560.652864730126	847.895025062141	724.169206541807	501.349860373701	729.383309955811	525.700479975951	361.688020274302	889.588928864004	888.185442697031
Memory B-cells	839.205524931376	715.776503242219	649.908576409593	931.093959280438	1098.80956887259	1128.12187172063	513.955649426753	921.543617075446	904.203709454266	797.694777167643	676.929288826969	849.484125648257	806.697004381855	960.560034577389	883.509934749653	557.935089637283	850.245555014748	979.375881067318	950.189991562307	731.705054126754	993.639700622074	578.322958681081	551.050502924676	678.730621899891	569.783749438984	699.635639321962	964.985158410114	647.003995453365	874.372327947317	818.169330323431	1024.00600200871	949.636216302971	661.505027086568	865.645488356525	1066.27090100177	1043.88834743912	617.247832143014	848.604967698402	900.906033830392	1131.31620303834	1141.68929227488	1143.99466361618	532.388594682087	1036.26083563709	783.164335545758	576.294089873661	697.798748212743	1019.69142446582	1039.85946577598	479.58594974444	1014.78000140234	930.355309545234	405.238744877105	902.172944270736	695.151525216861	655.389041736738	761.753843670651	513.228818261538
Mesangial cells	886.098049232209	1037.32281376637	985.990621513481	817.076109911956	1008.19177605252	1052.21553610791	809.677034440294	964.567928350293	765.583214224144	827.503452027617	1179.00275896612	720.60275406029	660.374939086721	1223.84233859733	778.951007417018	387.833339665518	1022.70092512668	879.674762812342	533.308451096057	617.988304252976	211.805984990845	1400.2688489878	1296.52778980834	868.03932193659	928.269491201002	1183.62938370254	797.964706670282	1179.2392508326	793.250069468705	985.846520560637	1022.95548690119	625.893066678609	818.797558084103	1523.9368985688	632.051395221245	771.171845333409	1130.39344473918	1025.21821661012	903.004748826589	911.229657039486	874.012147555173	1635.13847210436	1533.19135289576	1589.22933211734	1206.23932334067	1396.54114180818	917.802767301164	1131.72312869268	1235.57795097327	1016.90790707325	1062.95484448048	1108.77385031105	1423.35779125347	554.185739261252	778.389234437718	1196.6478772962	1525.53770360419	1081.80772644139
Monocytes	440.526307231735	300.907667147907	669.337298133222	407.288437642745	326.440853805877	355.643632420914	314.496771044782	360.99634668283	253.124132221643	287.903482050766	327.597318985439	342.697704630165	425.315762934941	408.925744898306	399.418767108462	385.757415650505	368.255802374973	409.084650066168	366.884686468581	323.249578027597	281.390248614122	449.968715798142	860.667710331124	408.672451066953	435.465160403771	450.574597454138	411.011099657743	658.356773397192	456.704634958381	255.320602417788	393.894594844815	487.29253460483	277.738421519309	722.618168722182	357.509455959302	351.628241535451	315.035663021813	368.471345923592	218.443608358261	427.933816643587	307.686301108482	1124.03401344101	748.648864174034	379.25560932582	247.590192723264	921.447503144396	368.411877449899	523.208446858797	265.096476486287	346.094670290358	373.182448677965	393.486641710804	742.423549062123	253.714027359524	305.429360484726	467.888658882723	215.201450584586	470.185892182656
Myocytes	744.542659177449	1225.17550758806	1304.81377567982	1126.59687858639	940.23511856671	804.472275675515	1127.35194624221	947.481250534602	1073.29548003453	833.184424511527	944.247340374399	573.09541354468	865.088378614577	860.250700321692	1052.34976055973	1559.62691129898	858.391165812731	865.397074037278	1045.89399512488	1214.52576334497	1081.06257974855	452.285259997268	638.892344754567	779.423505950697	1281.6142369893	903.690352161939	1179.91853243465	1097.14993736487	866.754540286557	1147.4705993979	978.824259330564	1127.99162525718	1071.08925668985	1091.81013944434	1087.56688878469	917.174952493068	1121.10199420815	1279.22438214055	891.869625025187	718.747676631649	853.385225484282	580.65061462652	1205.33418703948	672.693449545758	1014.40611504367	1430.77902768715	1140.80351169669	1064.05677835699	1109.85779765634	1090.57360635099	936.620646769194	934.837170035425	917.813689014264	1083.51910544567	1244.02925363088	1149.93552548634	850.292551517492	1323.19844613383
NK cells	924.825501528202	907.719880220308	871.605351579482	1115.14042048562	1114.39608771566	1004.70980466821	645.755771574831	973.071776021891	816.71783672403	1117.77336614886	589.912028129006	1255.33038089222	886.799629915901	1053.25386167779	1285.57119096789	884.323653134123	1366.13549104285	1212.41800078093	1186.11397801557	799.766535622286	990.111070578401	646.673477150826	624.173041317137	828.459102139614	421.105737955936	816.06610521992	1121.1861419991	764.570617348913	1042.15716058832	998.921224446646	1000.1876491003	1214.11957859233	774.177967402156	768.411431229305	1022.41039186256	1521.73002455229	712.115965924498	798.736105267833	1077.73615313843	925.952293464906	1215.74164588677	447.79271297433	260.099090950758	718.735101965599	559.717788782269	428.726089733377	843.040219063961	874.975492134235	1012.04268126154	525.612801833933	898.406811051354	798.042338654627	280.45985209869	836.062359781722	842.056970850635	445.999705483921	566.02468789807	875.385761581435
NKT	668.009515267945	634.071212682491	191.894048932775	798.757991106207	935.901426397442	1036.6529883724	420.936275595524	922.162532793894	1817.41449056475	972.784545639739	606.180039383766	840.967679917896	633.711350643013	691.671903232531	1106.34394332789	77.1953617129429	512.57470607505	543.653160532204	1069.6770820143	384.5285498431	781.986470233311	366.32708394884	419.300424869717	352.244000496311	859.828870879614	756.782899345213	1798.43645929252	98.2404239400759	1164.31870661325	572.434510345534	929.234245627758	1027.94861308966	411.749961777163	832.468566346825	303.494708655686	272.48822061089	408.314302180143	362.1199762503	454.844562272489	1014.64470637393	529.062269007294	1669.68438585143	619.186848321718	955.320939508671	887.142347648386	996.960403952248	1024.40966752499	1554.13695409517	1536.12455588496	1172.18275793337	1872.8740897445	891.879040992851	979.667108461216	2033.05769786587	1367.20786604053	894.541244855421	376.113288927772	1777.7394076202
Neurons	2195.36548290485	1545.03700222732	2929.8499045526	2730.15560536015	2534.61519034823	2470.14855034244	1817.98050558356	2668.88137391605	1922.91798870873	3302.95045733564	2056.22886672115	3786.84584127397	1729.33505552217	2898.50065267397	1870.33248626212	2102.99931864378	2402.65390831003	2574.71737197756	2096.43716291775	1642.57916341884	1389.78884004141	1507.30931701659	1655.21353238615	2903.33925952678	2138.22745660999	3059.4295327453	1796.45267145558	2445.97424715331	3331.04196590304	2265.38539624272	2976.0286584033	1875.06666774291	1716.63307015853	0	2683.51215877582	2697.21451243873	2104.78900874888	2109.88637656097	2404.29223455541	2260.76564002507	2366.22265611552	1883.07404020511	2286.38667147804	2683.69273417585	2176.51120895703	1760.73732454033	2454.07401597288	2889.71993783919	1484.47980267317	1871.16115308594	2926.5835770766	2268.77469872321	1439.47504667434	1939.32821308986	2159.03850791345	2927.01746017218	2310.11634376126	494.264209363809
Neutrophils	1527.63121025961	1037.5590584924	714.672554076753	1266.81634908169	1190.00221257111	1205.9007848089	525.633479983357	1337.37926160984	1043.66612769536	1477.35170881522	378.414582203325	1316.77157720764	806.942467002777	1237.21388974146	1138.97889829628	368.999761745833	1401.88085141311	1330.05800661916	1358.27188051223	600.440912983628	687.486278115631	1339.04723564051	565.320161896241	589.09920760941	610.814884135879	1159.85850640347	918.093719642167	656.309848493195	1376.17361162729	915.646090060198	1189.060820008	1119.52461275377	525.101379570032	639.832755853478	1317.44220345884	1167.0622744448	380.932472896616	472.082798947921	1111.51712488262	1589.82943015098	926.068686168489	1347.88621638142	403.130591210204	1397.41619033207	768.800614875283	463.670321498994	1351.14124652714	1410.4220678744	944.842025344509	311.073080468924	984.517700301977	1322.18931135593	474.877663319279	924.614110915439	798.166642020672	748.591912019225	435.00968346462	778.890989449844
Osteoblast	543.890747664463	671.302000433556	427.696275905454	616.159370010669	478.63070834134	503.940155423253	470.328668180126	426.865038819672	742.671404870009	565.215736805549	683.814310503642	596.157864165588	816.84298440129	560.977974288625	899.245722277862	599.306219099094	434.770091957854	476.818889883252	526.87645502559	629.611432725202	988.871992121175	764.087684826635	698.569386382841	549.841539990253	700.357431606687	613.125859445437	632.632207186978	406.297532989333	435.448289157389	995.314577679588	508.822033998524	654.822961687455	277.369914633548	974.842566637681	434.45667807435	346.14898707254	453.188455761352	423.88547142394	449.414415421638	458.329736968206	368.249257292938	950.577071063267	766.379522604973	449.38081404197	1107.75813580243	740.958362682631	735.058457415878	445.30470933281	757.971748372891	788.533270192366	613.354690662706	671.039519206412	700.082725987589	773.73727794778	708.293833495695	614.910140991973	762.213158593987	834.987014615151
